ID do Procedimento;Descrição do Procedimento
10101012;Consulta em consultório (no horário normal ou preestabelecido)
10101020;Consulta em domicílio
10101039;Consulta em pronto socorro
10102019;Visita hospitalar a paciente internado
10102027;Visita ou consulta hospitalar do médico assistente
10103015;Atendimento ao recém-nascido em berçário
10103031;Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de alto risco)
10103023;Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco)
10104011;Atendimento do intensivista diarista (por dia e por paciente)
10104020;Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente)
10105077;Acompanhamento médico para transporte intra-hospitalar de pacientes graves, com ventilação assistida, da UTI para o centro de diagnóstico
10105085;Avaliação hemoterápica
10105050;Transporte extra-hospitalar aéreo ou aquático de pacientes graves, 1ª hora - a partir do deslocamento do médico
10105069;Transporte extra-hospitalar aéreo ou aquático de pacientes graves, por hora adicional
10105034;Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora - a partir do deslocamento do médico
10105042;Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o retorno do médico à base
10106014;Aconselhamento genético
10106146;Atendimento ambulatorial em puericultura
10106154;Atendimento ambulatorial oftalmológico de criança pré-verbal (<4 anos) ou crianças com déficit intelectual, dificuldade de comunicação ou pouco colaborativas realizada em consultório
10106030;Atendimento ao familiar do adolescente
10106162;Atendimento para avaliação oftalmológica ao recém-nascido em berçário ou UTI
10106049;Atendimento pediátrico a gestantes (3º trimestre)
10106170;Consulta ocupacional
10106111;Exame de aptidão física e mental para concessão de benefícios fiscais conferidos pela Secretaria da Receita Federal e da Fazenda Estadual, a que fazem jus portadores de mobilidade reduzida, com necessidade de adaptação veicular
10106120;Exame de aptidão física e mental para ratificação, quando a condição física e mental assim o requerer, dos exames realizados pelo órgão previdenciário, incluindo restrição ou liberação para a condução de veículo automotor
10106065;Exame de aptidão física e mental, ou em portadores de mobilidade reduzida, para fins de inscrição ou renovação de CNH (Carteira Nacional de Habilitação)
10106073;Junta Médica (três ou mais profissionais) - destina-se ao esclarecimento diagnóstico ou decisão de conduta em caso de difícil solução - por profissional
10106138;Prova de direção veicular em banca especial - Avaliação Clínica durante a prova prática de direção veicular procedida por dois médicos simultaneamente - por profissional
20101449;Acompanhamento clínico ambulatorial da retinopatia da prematuridade por avaliação do 1 ao 30º dia, até 5 avaliações, em consultório
20101457;Acompanhamento clínico ambulatorial de uveítes anteriores agudas e/ou coriorretinites focal ou disseminada em atividade por avaliação do 1 ao 30º dia, até 5 avaliações, em consultório
20101430;Acompanhamento clínico ambulatorial do pós-operatório de cirurgia de catarata congênita ou glaucoma congênito, por avaliação do 11 ao 30º dia, até 3 avaliações, em consultório
20101414;Acompanhamento clínico ambulatorial do tabagista, por avaliação, do 1º ao 90º dia, até 7 avaliações clínicas
20101406;Acompanhamento clínico ambulatorial pós-cirurgia fistulizante antiglacomatosa - por avaliação do 11º ao 30º dia, até três avaliações
20101210;Acompanhamento clínico ambulatorial pós-transplante de córnea - por avaliação do 11º ao 30º dia até 3 avaliações
20101228;Acompanhamento clínico ambulatorial pós-transplante de medula óssea
20101015;Acompanhamento clínico ambulatorial pós-transplante renal - por avaliação
20101023;Análise da proporcionalidade cineantropométrica
20101252;Ativação do implante coclear unilateral
20101201;Avaliação clínica e eletrônica de paciente portador de dispositivo cardíaco  eletrônico implantável (marca-passo, estimulador cardíaco multissítio/ressincronizador, desfibrilador ou monitor de eventos)
20101317;Avaliação clínica pós coleta de líquor no teste de punção lombar única ou repetida – TAP test
20101309;Avaliação clínica pré coleta de líquor no teste de punção lombar única ou repetida – TAP test
20101090;Avaliação da composição corporal por antropometria (inclui consulta)
20101104;Avaliação da composição corporal por bioimpedanciometria
